x,z
-3.979239999999999782e+02,-3.118139999999999645e+02
-3.979239999999999782e+02,-3.068139999999999645e+02
-3.979239999999999782e+02,-3.018139999999999645e+02
-3.979239999999999782e+02,-2.968139999999999645e+02
-3.979239999999999782e+02,-2.918139999999999645e+02
-3.979239999999999782e+02,-2.868139999999999645e+02
-3.979239999999999782e+02,-2.818139999999999645e+02
-3.979239999999999782e+02,-2.768139999999999645e+02
-3.979239999999999782e+02,-2.718139999999999645e+02
-3.979239999999999782e+02,-2.668139999999999645e+02
-3.979239999999999782e+02,-2.618139999999999645e+02
-3.929239999999999782e+02,-5.618139999999999645e+02
-3.929239999999999782e+02,-5.568139999999999645e+02
-3.929239999999999782e+02,-5.518139999999999645e+02
-3.929239999999999782e+02,-5.468139999999999645e+02
-3.929239999999999782e+02,-5.418139999999999645e+02
-3.929239999999999782e+02,-5.368139999999999645e+02
-3.929239999999999782e+02,-5.318139999999999645e+02
-3.929239999999999782e+02,-5.268139999999999645e+02
-3.929239999999999782e+02,-3.168139999999999645e+02
-3.929239999999999782e+02,-3.118139999999999645e+02
-3.929239999999999782e+02,-3.068139999999999645e+02
-3.929239999999999782e+02,-3.018139999999999645e+02
-3.929239999999999782e+02,-2.968139999999999645e+02
-3.929239999999999782e+02,-2.918139999999999645e+02
-3.929239999999999782e+02,-2.868139999999999645e+02
-3.929239999999999782e+02,-2.818139999999999645e+02
-3.929239999999999782e+02,-2.768139999999999645e+02
-3.929239999999999782e+02,-2.718139999999999645e+02
-3.929239999999999782e+02,-2.668139999999999645e+02
-3.929239999999999782e+02,-2.618139999999999645e+02
-3.929239999999999782e+02,-2.568139999999999645e+02
-3.879239999999999782e+02,-5.618139999999999645e+02
-3.879239999999999782e+02,-5.568139999999999645e+02
-3.879239999999999782e+02,-5.518139999999999645e+02
-3.879239999999999782e+02,-5.468139999999999645e+02
-3.879239999999999782e+02,-5.418139999999999645e+02
-3.879239999999999782e+02,-5.368139999999999645e+02
-3.879239999999999782e+02,-5.318139999999999645e+02
-3.879239999999999782e+02,-5.268139999999999645e+02
-3.879239999999999782e+02,-3.118139999999999645e+02
-3.879239999999999782e+02,-3.068139999999999645e+02
-3.879239999999999782e+02,-3.018139999999999645e+02
-3.879239999999999782e+02,-2.968139999999999645e+02
-3.879239999999999782e+02,-2.918139999999999645e+02
-3.879239999999999782e+02,-2.868139999999999645e+02
-3.879239999999999782e+02,-2.818139999999999645e+02
-3.879239999999999782e+02,-2.768139999999999645e+02
-3.879239999999999782e+02,-2.718139999999999645e+02
-3.879239999999999782e+02,-2.668139999999999645e+02
-3.879239999999999782e+02,-2.618139999999999645e+02
-3.879239999999999782e+02,-2.568139999999999645e+02
-3.879239999999999782e+02,-2.518139999999999645e+02
-3.879239999999999782e+02,-2.468139999999999645e+02
-3.829239999999999782e+02,-5.618139999999999645e+02
-3.829239999999999782e+02,-5.568139999999999645e+02
-3.829239999999999782e+02,-5.518139999999999645e+02
-3.829239999999999782e+02,-5.468139999999999645e+02
-3.829239999999999782e+02,-5.418139999999999645e+02
-3.829239999999999782e+02,-5.368139999999999645e+02
-3.829239999999999782e+02,-5.318139999999999645e+02
-3.829239999999999782e+02,-5.268139999999999645e+02
-3.829239999999999782e+02,-3.068139999999999645e+02
-3.829239999999999782e+02,-3.018139999999999645e+02
-3.829239999999999782e+02,-2.968139999999999645e+02
-3.829239999999999782e+02,-2.918139999999999645e+02
-3.829239999999999782e+02,-2.868139999999999645e+02
-3.829239999999999782e+02,-2.818139999999999645e+02
-3.829239999999999782e+02,-2.768139999999999645e+02
-3.829239999999999782e+02,-2.718139999999999645e+02
-3.829239999999999782e+02,-2.668139999999999645e+02
-3.829239999999999782e+02,-2.618139999999999645e+02
-3.829239999999999782e+02,-2.568139999999999645e+02
-3.829239999999999782e+02,-2.518139999999999645e+02
-3.829239999999999782e+02,-2.468139999999999645e+02
-3.829239999999999782e+02,-2.418139999999999645e+02
-3.779239999999999782e+02,-5.618139999999999645e+02
-3.779239999999999782e+02,-5.568139999999999645e+02
-3.779239999999999782e+02,-5.518139999999999645e+02
-3.779239999999999782e+02,-5.468139999999999645e+02
-3.779239999999999782e+02,-5.418139999999999645e+02
-3.779239999999999782e+02,-5.368139999999999645e+02
-3.779239999999999782e+02,-5.318139999999999645e+02
-3.779239999999999782e+02,-5.268139999999999645e+02
-3.779239999999999782e+02,-2.968139999999999645e+02
-3.779239999999999782e+02,-2.918139999999999645e+02
-3.779239999999999782e+02,-2.868139999999999645e+02
-3.779239999999999782e+02,-2.818139999999999645e+02
-3.779239999999999782e+02,-2.768139999999999645e+02
-3.779239999999999782e+02,-2.718139999999999645e+02
-3.779239999999999782e+02,-2.668139999999999645e+02
-3.779239999999999782e+02,-2.618139999999999645e+02
-3.779239999999999782e+02,-2.568139999999999645e+02
-3.779239999999999782e+02,-2.518139999999999645e+02
-3.779239999999999782e+02,-2.468139999999999645e+02
-3.779239999999999782e+02,-2.418139999999999645e+02
-3.779239999999999782e+02,-2.368139999999999645e+02
-3.729239999999999782e+02,-5.618139999999999645e+02
-3.729239999999999782e+02,-5.568139999999999645e+02
-3.729239999999999782e+02,-5.518139999999999645e+02
-3.729239999999999782e+02,-5.468139999999999645e+02
-3.729239999999999782e+02,-5.418139999999999645e+02
-3.729239999999999782e+02,-5.368139999999999645e+02
-3.729239999999999782e+02,-5.318139999999999645e+02
-3.729239999999999782e+02,-5.268139999999999645e+02
-3.729239999999999782e+02,-5.218139999999999645e+02
-3.729239999999999782e+02,-2.918139999999999645e+02
-3.729239999999999782e+02,-2.868139999999999645e+02
